Name,Age restrictions:,Project/Program Description,Address,Website,Zip Code,Category 1,Category 2,Category 3
Emergency Feeding Program,9,"Our mission is to provide an emergency response to the nutritional needs of people in crisis hunger situations throughout Seattle and King County. We are dedicated to alleviating hunger while providing individuals with resource counseling to help move them towards independence. Our goal is to provide a proactive, non-traditional approach to food assistance that will eventually lead to self-reliance for individuals in need of services. Nearly half of all meals go to children.","851 Houser Way N., Renton, WA 98057",http://www.emergencyfeeding.org/,98057,Civic,Food,Low-income
Farms for Life,10,"Farms for Life is dedicated to serving people in transition, supporting local farmers, and protecting agricultural lands. We will achieve this by providing quality produce from local farms and nutritional education to people in transitional programs through the agencies that serve them. Farms for Life links local farms with agencies who serve people in need of healthy food. We actively work to strengthen our community through distribution of fresh produce and food education to people who may otherwise not have access to them.","13607 Woodinville-Redmond Road, Woodinville, WA 98072",http://farms4life.org,98072,Civic,Food,
Feet First,16,"Feet First is an advocacy organization dedicated to building walkable communities. We help people take simple steps to create better places to live, learn, shop, work, and play--a world that cares about health, community, and design. Feet First is a 501(c)(3) non-profit organization serving Washington State, with a focus on the Puget Sound Region. We were founded in 1996 to promote the rights and interests of pedestrians and to encourage walking.","2019 Third Ave, Suite 110, Seattle, WA 98121",http://www.feetfirst.org/about-us,98121,Civic,Family,Transportation
Issaquah Youth Board - City of Issaquh,15,"The City of Issaquah engages the public and provides quality services to support a sustainable, safe and vibrant community","301 Rainier Blvd. S, Issaquah, WA  98027",https://www.issaquahwa.gov/,98027,Civic,,
Kids4Peace,,,,,,Civic,,
Mercy Corps,15,"Mercy Corps exists to alleviate suffering, poverty and oppression by helping people build secure, productive and just communities. Emergency relief services that assist people afflicted by conflict or disaster. 
 Sustainable economic development that integrates agriculture, health, housing and infrastructure, economic development, education and environment, and local management. 
 Civil society initiatives that promote citizen participation, accountability, conflict management and the rule of law.","PO Box 2669, Portland, OR 97208-2669",https://www.mercycorps.org/how-to-help/volunteer,97208,Civic,Differently Abled,Family
New Course,16,"Women of all ages should be empowered to determine the course of their own lives—especially when it comes to basic human rights like food, water, health, education, environment, and security. Working with partners, New Course will connect women with these vital resources through sustainable development and natural-resource management. Together, we'll help improve their well-being, as well as the health and welfare of their families and communities. By engaging directly with communities—focusing on women—New Course works to discover the most urgent issues hindering effective resource management. We identify the partners most capable of resolving these issues, the financial resources necessary for delivering results, and the methodologies that will empower people to more effectively manage their natural capital.","710 NE John Nelson Ln, Bainbridge Island, WA 98110",http://www.anewcourse.org,98110,Civic,Environment,International
Overseas Vote Foundation,16,"OVF's mission is to facilitate and increase participation of American overseas voters and military voters and their dependents in federal elections by providing public access to innovative voter registration tools and services. Integral to achieving our mission is making it easier for all Americans residing around the world, and all military and dependents residing outside their home jurisdiction, to be able to stay active in their home state's electoral process.","4786 N. Williamsburg Blvd., Arlington, VA 22207-2836 USA",http://www.overseasvotefoundation.org/,22207,Civic,Office-Clerical,
Seattle City Council,16,"Seattle.Gov’s goals include: To enable citizens to initiate every transaction required to secure City services. To be a central resource for Seattle community information. To promote democracy on the local level by facilitating citizen debate on public issues and participation in government decision-making. To promote the City’s core values, priorities and policies. To promote Seattle world-wide as a good place to do business and to visit. To assure that every Seattle citizen has access to the Internet, an e-mail account, and basic computer literacy.","Seattle City Hall
 
 600 Fourth Ave
 
 Seattle, WA 98104",http://www.seattle.gov/council/,98104,Civic,,
Seattle Foundation’s Youth Grantmaking Board,13,"The Youth Grantmaking Board (YGB) helps young people learn how philanthropy can create positive change in their community by giving them the opportunity to take the lead on all phases of grant making. The board is made up of a diverse group of high school students from all over the King County area. The board meets once a month for four hours or longer and are required to do prep for each meeting. The board is given $20,000 for grants for 1-4 different organizations that are looking to serve a particular need in the community.","1601 5th Avenue, Suite 1900, Seattle WA 98101-3615",https://www.seattlefoundation.org/philanthropists/family-philanthropy/Youth-Grantmaking-Board,98101,Civic,Fundraising,
Seattle Public Library,14,"To become the best public library in the world by being so tuned into the people we serve and so supportive of each other's efforts that we are able to provide highly responsive services. Volunteers are needed to assist with the collection, mending, sorting, labeling and mailing of books as well as research. Tutors, children's services and persons to asist with homework are also needed. Volunteers are also needed to help with tax assistance and computer input training. Also computer work and clerical duties are needed.","1000 - 4th Ave, Seattle, WA 98104",https://www.spl.org/about-us/support-us/volunteer,98104,Civic,Education,Office-Clerical
Seattle Youth Commission,13,"The Seattle Youth Commission is a group of 15 Seattle teens from all over the city who are appointed by the Mayor and City Council to connect youth to local elected officials, advise on City policies, and discuss issues that youth in Seattle are facing. There is a Youth Commissioner representing each of the seven City Council Districts, as well as eight at-large commissioners. Youth Commissioners must be between the ages of 13 - 19 and live or go to school in Seattle. They serve a two-year term and meet on the 1st and 3rd Mondays from 4:30-6:00 pm in Seattle City Hall (600 4th Avenue). Youth Commissioners have the opportunity to: develop public-speaking, facilitation, organizing and communication skills, cultivate a deeper appreciation of cultural competency and inclusive civic engageme, earn from key community and City leaders and build new relationships, discuss issues and solutions with other Seattle youth and develop projects that address those concerns, advise the Mayor, City Council and City departments on issues that impact youth in Seattle, collaborate on a community project with other Youth Commissioners, and plan an annual event (or several events) that connects youth to local government and topics they care about.","600 4th Avenue, Floor 7, Seattle, WA",http://www.seattle.gov/neighborhoods/seattle-youth-commission,98104,Civic,,
Sno-Isle Libraries- Lynnwood,13,"The mission of Sno-Isle Libraries is to be a community doorway to reading, resources, and lifelong learning, and a center for people, ideas, and culture. The Library District is guided by these principles: Provide collections and services that are responsive to the diverse interests of individuals and communities, Uphold First Amendment rights through freedom of expression, open exchange of ideas and access to information, Provide diverse staff who are skilled, well-trained, courteous, professional and responsive to all users, Promote reading and literacy among all ages, Act as responsible stewards of the Library District's financial resources, Contribute to the preservation, enhancement and vitality of our communities, Respect the integrity and confidentiality of all customers.
 ","19200 - 44th Ave. W., Lynnwood, WA 98036-5617",http://www.sno-isle.org,98036,Civic,Education,Office-Clerical
SVP Youth Philanthropist,15,"Social Venture Partners Youth Philanthropists (SVPYP) is a youth philanthropy organization with the goal of providing youth with the education & experiences to develop their own philanthropic priorities & the skills to carry out their own good works. SVP connects and invests in people and organizations to co-create thriving, sustainable and just communities. We envision a Puget Sound region where everyone thrives regardless of income or race. A","220 2nd Avenue South Suite 300, Seattle WA 98104",http://www.socialventurepartners.org/seattle/what-we-do/connect-philanthropists/social-venture-kids/,98104,Civic,,
Teens In Public Service,14,Teens In Public Service is dedicated to producing future leaders committed to their communities by connecting teens with life-changing opportunities and internships at non-profit organizations. Teens In Public Service is a not-for-profit organization dedicated to producing future leaders commited ot their communities. TIPS selects teen leaders and lends them to charitable organizations. The charities recieve our teen workforce at no cost to them and our teens end up with more than a paycheck. The experience fosters a sense of leadership and responsibility to one's community. The youth who are likely to be the next generation business and comunity leaders are more aware of the struggles and needs within the community. They will chose to stay involved.,"4530 Union Bay Place NE #140, Seattle, WA 98105",http://www.teensinpublicservice.org,98105,Civic,,
The Washington Bus,14,"The Washington Bus is mobilizing and energizing a political movement of young people across the state. The Bus is an innovative vehicle for hands-on democracy. It’s the place young people can assert their political power while having a good time. The Washington Bus works in Washington state to drive change and promote democracy through backing candidates that fight for the issues most important to the Bus. The Bus works on issues of the environment, education, rights, health, and especially on issues surrounding campaigning and encouraging the public to vote. It travels the state with volunteers who want to work for positive change in these areas, among others.","1801 12th Ave,Suite A, Seattle, WA 98122",http://www.washingtonbus.org,98122,Civic,,
University of Washington,16,"The primary mission of the University of Washington is the preservation, advancement, and dissemination of knowledge. The University preserves knowledge through its libraries and collections, its courses, and the scholarship of its faculty. It advances new knowledge through many forms of research, inquiry, and discussion; and disseminates it through the classroom and the laboratory, scholarly exchanges, creative practice, international education, and public service.",Varies by volunteer opportunity,http://www.washington.edu/,98195,Civic,Environment,Education
VOICE (Volunteer Outreach In Communities Everywhere),13,"Mercer Island Youth & Family Services (MIYFS) mission is to provide, coordinate and advocate for affordable, high quality human services for the community of Mercer Island.. The purpose of the VOICE program is to raise social awareness, and this is accomplished through various means. Through a combination of hands on community service, art, and media the program promotes awareness about social justice issues confronting diverse populations both locally and globally. Group volunteer projects are intensely scheduled throughout an 8-week period and offer the choice and scheduling flexibility not available in other programs. All groups are led and supervised by college-age young adults who have a personal commitment to community service and youth development.","2040 - 84th Avenue SE, Mercer Island, Washington 98040",http://www.mercergov.org/Page.asp?NavID=1528,98040,Civic,,
Washington Coalition to Abolish the Death Penalty,15,"The Washington Coalition to Abolish the Death Penalty (WCADP) is a grassroots, volunteer-driven, statewide non-profit organization dedicated to the abolition of the death penalty.","6512 12th Ave NW Seattle, WA 98117",http://www.abolishdeathpenalty.org,98117,Civic,,
Washington State Democratic Party,13,Organization supporting the Democratic Party in Washington State.,"615 2nd Ave., Suite 580 , Seattle, WA 98104",http://www.wa-democrats.org/,98104,Civic,Office-Clerical,Political-Advocacy
Washington State Legislative Youth Advisory Council (LYAC),14,"The Workings - The Washington State Legislative Youth Advisory Council (LYAC) is a 22-member council of 14-18 year-old students from across the state of Washington. Students serve on the Council for two years. It is run out of the Washington State Office of the Lieutenant Governor who oversees appointments and along with the Office of Superintendent of Public Instruction supervises the Council’s operations. 

 * Civics and Youth-voice Education – A major part of LYAC’s work is designated to going out into youth-groups (world vision youth groups, Shoreline youth ambassador…) and teach them about civics and how youth can be an active participant of the government process. After they receive training in ethics, civics and other lessons we help them set up meeting with their own legislatures to eventually write/support/testify on bills and create the change they want. 
 
 * Representing the Youth in Legislature – In addition to giving other youth the tools they need to create change, LYAC is responsible for their own legislative priorities and changes. In the past year LYAC has helped to create and pass Legislation that ensure minors can call for emergency help for dangerous drinking without fear of self-incrimination, that public schools must provide volunteer resources for students to fulfill their service requirements and a bill that targets suicidal youth and gets them help they need. LYAC members write legislation on behalf of the council, for instance one student was working on a bill that targets 3rd graders that don’t reach the state’s minimum reading requirement and helps them receive resources and teaching to elevate their literacy. ","Old Capitol Building ,  PO Box 47200 ,  Olympia, WA 98504-7200",http://walyac.weebly.com/,98504,Civic,Political-Advocacy,
Washington State Republican Party,13,"The Republican Party supports the principle of federalism and local control. To that end, we respect the wide-ranging diversity of opinion that exists within the 39 county Republican Party platforms. Respecting honest and strongly held differences of opinion allows the people a greater voice in and choice of approaches to public policy. We encourage grass roots activists, elected legislators, and Republican candidates to read, consider and support the various ideas offered in our 39 county platforms.","7424 SE 71st St , Mercer Island, WA 98040",http://www.wsrp.org/home,98040,Civic,Office-Clerical,Political-Advocacy
Wounded Warrior Project,13,"To honor and empower wounded warriors. Organization that helps raise awareness and encourage warriors as they make the transition back to everyday life. They offer a variety of programs to serve soldiers suffering from both physical and mental injuries. These programs include, economic empowerment, adaptive sports and health, programs that help soldiers stay connected with family members and reach future goals, and finally programs that help wounded soldiers stay connected with each other in order to transition easier.","2200 Alaskan Way, Suite 130, Seattle, WA 98121",http://www.woundedwarriorproject.org/,98121,Civic,Differently Abled,Fundraising
Youth Engaged in Service (YES) - City of Seattle Parks and Recreation,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. The Youth Engaged in Service (YES) Program is a volunteer program for Seattle based youth between the ages of 13 and 18. Participants will volunteer for six weeks in July and August for a total of 120 hours in a Seattle Parks and Recreation program or facility or community based organization. ","100 Dexter Ave N, Seattle, WA 98109",http://www.seattle.gov/parks/teens/programs/teenjobs.htm#three,98109,Civic,Education,Office-Clerical
Washington Care Center,13,"Washington Care Center is a multicultural community committed to enhancing the lives of our residents needing long-term care or short-term rehabilitation by consistently demonstrating high standards of practice in a therapeutic homelike environment. We aim to serve as a community resource and asset by providing jobs, training, student-mentoring and exceptional services. We provide a wide range of skilled nursing care and rehab to people of all ages. Whether you need short-term rehab or long-term care.","2821 South Walden Street , Seattle, Washington 98144",http://www.wacenter.com/default.htm,98144,Differently Able,Elderly,Health
Camp Agape Northwest,13,"Camp Agape NW gives children with cancer a chance to feel normal, siblings a chance to feel special, and parents a time to be together.","205 Raft Island Drive East Gig Harbor, WA 98335",https://campagapenw.net/,98445,Differently Abled,Youth,
FareStart,13,"FareStart provides a community that transforms lives by empowering homeless and disadvantaged men, women, and families to achieve self-sufficiency through life skills, job training and employment in the food service industry. FareStart provides a community that successfully empowers men, women and youth to create new opportunities through food service training, life skills training, and job placement. ","700 Virginia St., Seattle, WA 98101",http://farestart.org/help/volunteer/index.html,98101,Differently Abled,Food,Homeless
FEAT (Families for Effective Autism Treatment),16,"Through information sharing, mentoring support, and the delivery of evidence-based services, FEAT provides families with hope and guidance to help their children with autism reach their full potential. The organization is non-profit and works in many different ways to help pay for the tuition. Ben's Fund Grant is a financial assistance service to help with services related to autism. Families can receive grants for multiple things including: Integrated Listening Systems, Therapies including: Occupational, Speech, ABA, Developmental, to name a few; Weighted blankets, Professional Advocacy for IEP support, Therapy swings, Music therapy. Any family can apply for a grant for up to 1000 dollars per child per year. There is no income cap on the grant but preference will be given to families more in need.","FEAT of Washington Located in Lake Sammamish Foursquare Church
 14434 NE 8th St., Second Floor, Bellevue, WA 98007",http://www.featwa.org,98007,Differently abled,K-12 Education,
Helpline House,12,"Helpline House offers an umbrella of social services and invites the community to become a part of a circle of giving and receiving help - Neighbor helping Neighbor. Helpline House provides a network of critical social services through a number of different programs – including children services, senior services, financial assistance and a food bank. Helpline was founded in 1968 as a food bank in response to the ""War on Poverty."" It has evolved over the years to include an array of social services, such as social work case management and mental health counseling.","282 Knechtel Way NE
 
 Bainbridge Island, WA 98110",http://helplinehouse.org/index.shtml,98110,Differently Abled,Family,Food
Hilltop House,14,"Hilltop House is an equal opportunity facility that provides housing to low-income individuals 62 years of age and older through HUD. We are located on Capital Hill, in the heart of Seattle. Hilltop House is a nonprofit corporation which owns a 125-unit apartment building in Seattle, Washington. It is an equal opportunity facility that provides housing to low-income individuals 62 years of age and older through the Dept. of Housing and Urban Development's 202 Program (HUD 202). Residency is open to all qualified, eligible persons without regard to race, color, creed, national origin, handicap status, religion, familial status, political persuasion, sex or sexual preference.","1005 Terrace ST, Seattle WA 98104",https://www.hilltophouse.info/volunteer.php,98104,Differently Abled,Elderly,Low-income
Hopelink,7,"Since 1971, Hopelink has served homeless and low income families, children, seniors and people with disabilities. Hopelink's mission is to promote self-sufficiency for all members of our community; we help people make lasting change. Each Hopelink Emergency-Service Center holds weekly foodbanks. Most of our centers offer a daytime foodbank for families, another for seniors and people with disabilities (who may need more time for their visit), and an evening foodbank for the many families. Hopelink also helps with housing, family development, adult educaation and transportation needs.","16225 NE 87th Street, Suite A-1 , Redmond, WA 98052",http://www.hope-link.org/volunteer/index.htm,98052,Differently Abled,Food,Homeless
L'Arche Noah Sealth Seattle,16,"To make known the gifts of people with developmental disabilities, revealed through mutually transforming relationships. To engage in our diverse cultures, working together toward a more human society. To foster community that is inspired by the core values in our founding story and responds to the changing needs of our members. L’Arche Noah Sealth is part of the international federation of L’Arche, communities/organizations in which people with disabilities ","1425 E. Ward St. , Seattle, WA 98112",http://www.larcheseattle.org/,98112,Differently Abled,,
Norse Home,18,"Norse Home provides a community to individuals and couples age 65 or older who wish to enjoy and make productive use of their leisure time. The norse Home is a full service assisted living community in Phinny Ridge, founded by members of the Norwegian American Community.","5311 Phinney Ave North, Seattle, WA 98103",http://norsehome.org/our-community-events/,98103,Differently Abled,Elderly,
Open Doors for Multicultural Families,16,"Open Doors for Multicultural Families is a nonprofit charitable organization dedicated to ensuring that families with family member with developmental/intellectual disabilities and special health care needs have equal access to culturally and linguistically appropriate information, resources, and services","24437 Rus­sell Rd #110, Kent, WA 98032","https://www.multiculturalfamilies.org/

",98032,Differently Abled,Families,
Outdoors for All,13,"To enrich the quality of life for children and adults with disabilities through outdoor recreation. We are a customer driven organization where each year more than 2,000 children and adults with disabilities exercise their abilities thanks to the training and support of more than 600 volunteers.","2 Nickerson Street, Suite 101, Seattle, WA 98109",http://www.outdoorsforall.org/volunteer.html,98109,Differently Abled,Youth,
Providence Regina House,16,"Providence Regina House is committed to affirming the basic human worth and dignity of all persons. We envision a community where each person’s basic needs for daily living are met. Upholding the heritage and tradition of the Sisters of Providence we will: provide goods and services within the local community, partner with community organizations that share common values to meet the needs of persons who are poor and vulnerable, advocate for our neighbors by increasing awareness of the unmet needs in our community, act as a referral source for needed community services.","8201 10th Ave. S. Seattle, WA 98108",http://www2.providence.org/kingcounty/facilities/providence-regina-house/Pages/default.aspx,98108,Differently Abled,Food,Homeless
Recovery Cafe,15,"Recovery Café and its School for Recovery serve men and women who have suffered trauma, homelessness, addiction and/or other mental health challenges. With our full-service Club and our 3 before- and after-school childcare sites, we reach nearly 2,000 youth annually. We serve children 5–18 years old. ","2022 Boren Ave., Seattle, WA 98121",http://recoverycafe.org/,98121,Differently Abled,Food,Health
Salvation Army (The) - Bellevue,16,"The Salvation Army, an international movement, is an evangelical part of the universal Christian Church. The Salvation Army performs evangelical, social and charitable work and brings the Christian message to the poor, destitute and hungry by meeting both their physical and spiritual needs.","911 164th Ave NE, Bellevue, WA 98008",https://bellevue.salvationarmy.org/,98008,Differently Abled,Family,Fundraising
Sankara Eye Foundation,15,"Our mission is to reach out to the rural poor and provide quality eye care free of cost to the needy by building operationally self-sufficient super specialty eye care hospitals across India. 
 SEF, India offers total specialty eye care services including Preventative, Curative and Rehabilitative.","Sankara Eye Foundation, USA
 1900 McCarthy Blvd #302
 Milpitas, CA 95035",http://www.giftofvision.org,95035,Differently Abled,Fundraising,Health
Sound Generations affilated with Senior Services (Centers),15,"We support people on their aging journey through community connections and accessible services. We are a community where older adults and those who love them are empowered to choose and develop ever more joyful, healthful and meaningful lives. Senior Services is the largest non-profit agency serving older people in Washington. Established in 1967, the agency serves over 50,000 seniors and their families each year through an integrated system of quality programs and services.","2208 2nd Ave, Seattle, WA 98121",https://soundgenerations.org/get-involved/volunteer/,98121,Differently abled,Elderly,
Special Olympics Washington,14,"Special Olympics Washington provides year-round sports training and athletic competition in a variety of Olympic type sports for children and adults with intellectual disabilities, giving them continuing opportunities to develop physical fitness, demonstrate courage, experience joy and participate in the sharing of gifts, skills and friendship with their families, other Special Olympics athletes and the community. The vision of Special Olympics is to help bring all persons with intellectual disabilities into the larger society under conditions whereby they are accepted, respected and given the chance to become useful and productive citizens. ","2815 Second Ave Suite 370, Seattle, WA 98121",http://www.sowa.org,98121,Differently abled,Health,Sports
St. Vincent de Paul,13,"The Society of St. Vincent de Paul, Council of Seattle/King County, is part of a worldwide organization of lay Catholic men and women and others who are committed to live and grow in their Christian faith through prayer and personal involvement in charitable works.  The Society’s work includes any actions that promote the dignity of the person and alleviate suffering and distress while correcting the conditions that cause them. The Society of St. Vincent de Paul has been serving homeless and economically disadvantaged populations since 1946. Through home visits, shelter, food assistance, employment services, thrift stores and outreach programs, St. Vincent de Paul provides compassion and support to individuals in need, regardless of race, origin, religion or gender. At St. Vincent de Paul, our goal is to deal with the initial emergency then shepherd individuals into programs that can bring lasting change into their lives. Donations made locally are used and distributed throughout Seattle and King County neighborhoods.","5950 4th Ave. South, Seattle, WA 98108",http://www.svdpseattle.org/,98108,Differently Abled,Elderly,Food
Stanley Stamm Children's Hospital Camp,18,"We provide hope, care and cures to help every child live the healthiest and most fulfilling life possible. We will care for all children in our region, regardless of their family’s ability to pay.Each August, Seattle Children’s Stanley Stamm Summer Camp gives nearly 100 children with chronic medical conditions the chance to go fishing, ride horses and take part in other typical summer camp activities at a week-long sleepover camp near Mt. Rainier. Our camp, founded by Seattle Children's heart specialist Dr. Stanley Stamm, includes a team of both medical and non-medical volunteers from the community and a fully equipped infirmary so that children who are unable to attend other camps due to unique and often complex medical needs can join in the fun. Stamm Camp is subsidized by our generous donors so families don’t have to pay a fee.","4800 Sand Point Way NE, Seattle WA 98105",https://www.seattlechildrens.org/clinics/stanley-stamm-summer-camp,98105,Differently Abled,Youth,
TOPSoccer,13,"The program is designed to bring the opportunity of learning and playing soccer to any boy or girl, ages 4-19, who has a mental or physical disability. Our goal is to enable the thousands of young athletes with disabilities to become valued and successful members of the US YOUTH SOCCER family.","Washington Youth Soccer, 500 S. 336th Street Suite 100, Federal Way WA 98003",http://www.washingtonyouthsoccer.org/programs/topsoccer/,98003,Differently Abled,,Sports
Umang,16,"Umang is an initiative that strives for an inclusive society that provides equal opportunity for all, by enhancing the quality of life of individuals with various disabilities. Umang strives for an all inclusive society with equal opportunity for all by enhancing the over all quality of life of individuals with cerebral palsy, multiple disabilities, mental challenges, autism and other neurological conditions so as to enable them to achieve their fullest potential and include them into mainstream for full participation in the community.","Shirpa Path, Near Technonolgy Park, Mansarovar, Jaipur - 302020, Rajasthan, India",http://www.umangindia.org/,India,Differently abled,Fundraising,Youth
YMCA of Seattle- King County; Snohomish County,13,"Our Mission: Building a community where all people, especially the young, are encouraged to develop their fullest potential in spirit, mind and body.
 The following goals provide focus for YMCA efforts to meet community needs:
 
 Provide activities for youth which shape values and encourage lifelong community service 
 
 Support and strengthen all families 
 
 Encourage and support the development of healthy lifestyles 
 
 Provide older adults with opportunities to create healthy and productive lives for themselves and the community 
 
 Attract diverse individuals who will work together to create a community where all participate. Child care and youth programs, employment services, health and fitness. Services offered vary according to location.
 
 Program OpportunitiesThere are many opportunities for young people to volunteer at YMCA branches. Depending on the needs of each location, students may volunteer at the front desk, as lifeguards or in many other capacities. Check with your local branch to find out how to get involved.","Seattle Main Office 909 4th Avenue, Seattle, WA 98104",http://www.seattleymca.org,98104,Education,Health,Housing Services
CRISTA Senior Living,14,"CRISTA Living exists to enrich lives through intergenerational community living, where our residents, their families and our staff encounter the love of Christ, allowing Him to enrich mind, body, and soul.","19303 Fremont Ave. N., Shoreline, WA 98133",https://cristaseniorliving.org/volunteer/,98133,Elderly,,
Delta Society (the),13,"We help people throughout the world become healthier and happier by incorporating therapy, service and companion animals into their lives. Delta Society's Pet Partners program trains and screens volunteers with their pets so they can visit patients/clients in hospitals, nursing homes, hospice and physical therapy centers, schools, libraries and many other facilities. ","875 124th Ave NE, Suite 101, Bellevue, WA 98005",http://www.deltasociety.org,98005,Elderly,Differently Abled,Health
Foss Home and Village,16,"Foss Home and Village is a not-for-profit, mission-driven, experienced service provider that promotes excellent healthcare, quality of life, dignity and respect. Having served the community since 1929, Foss has built an excellent reputation for quality and innovative services. Located in north Seattle’s Broadview neighborhood, Foss is affiliated with the Lutheran Church. At Foss we celebrate a diverse community, welcome individual differences and honor self-expression. Foss has grown with the needs of our community and now serves over 700 residents and their families each year through our four programs: Post-Acute Rehab, Assisted Living, Long-Term Care, Memory Support ","13023 Greenwood Ave N
 
 Seattle, Washington 98133",http://www.fosscare.org/get-involved/volunteer/,98133,Elderly,Elderly,Health
Full Life (formerly ElderHealth Northwest),16,"Full Life is dedicated to enhancing the quality of life for frail elders and people with chronic or terminal illnesses and disabilities. We respect the dignity of our participants and provide for them with care and compassion. We are committed, through our program of health and social services, to the independence and well-being of all participants and to providing respite for caregivers.","800 Jefferson Street, Suite 620, Seattle, WA 98104",https://www.fulllifecare.org/donate-now/volunteer/,98104,Elderly,,
